"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20230501","우이신설선","4.19민주묘지","4160","4200","20230504"
"20230501","경원선","가능","5917","5605","20230504"
"20230501","3호선","가락시장","6479","6431","20230504"
"20230501","8호선","가락시장","5503","6007","20230504"
"20230501","7호선","가산디지털단지","16381","15657","20230504"
"20230501","경부선","가산디지털단지","6969","9142","20230504"
"20230501","9호선","가양","14369","14278","20230504"
"20230501","우이신설선","가오리","3655","3537","20230504"
"20230501","경의선","가좌","4947","4862","20230504"
"20230501","분당선","가천대","11802","12215","20230504"
"20230501","경춘선","가평","2901","2489","20230504"
"20230501","경인선","간석","4988","4688","20230504"
"20230501","경춘선","갈매","2477","2154","20230504"
"20230501","2호선","강남","48872","47351","20230504"
"20230501","분당선","강남구청","5453","6447","20230504"
"20230501","7호선","강남구청","8620","9396","20230504"
"20230501","5호선","강동","12125","12045","20230504"
"20230501","8호선","강동구청","7447","7676","20230504"
"20230501","경의선","강매","2288","2022","20230504"
"20230501","2호선","강변(동서울터미널)","28791","26672","20230504"
"20230501","5호선","강일","4049","3640","20230504"
"20230501","경춘선","강촌","743","684","20230504"
"20230501","5호선","개롱","5023","5161","20230504"
"20230501","경인선","개봉","17851","17243","20230504"
"20230501","분당선","개포동","3561","3674","20230504"
"20230501","9호선","개화","1634","1315","20230504"
"20230501","5호선","개화산","3996","3942","20230504"
"20230501","5호선","거여","7382","7156","20230504"
"20230501","7호선","건대입구","12401","12987","20230504"
"20230501","2호선","건대입구","37134","36657","20230504"
"20230501","공항철도 1호선","검암","4563","4660","20230504"
"20230501","경강선","경기광주","5898","5682","20230504"
"20230501","과천선","경마공원","946","891","20230504"
"20230501","3호선","경복궁(정부서울청사)","28239","28655","20230504"
"20230501","3호선","경찰병원","4984","5138","20230504"
"20230501","공항철도 1호선","계양","8638","8055","20230504"
"20230501","5호선","고덕","7685","7715","20230504"
"20230501","6호선","고려대(종암)","7807","7656","20230504"
"20230501","수인선","고색","3004","3179","20230504"
"20230501","9호선","고속터미널","15301","20410","20230504"
"20230501","7호선","고속터미널","16634","10665","20230504"
"20230501","3호선","고속터미널","53496","47096","20230504"
"20230501","안산선","고잔","6825","6441","20230504"
"20230501","경의선","곡산","481","483","20230504"
"20230501","경강선","곤지암","2063","2247","20230504"
"20230501","경의선","공덕","2653","2260","20230504"
"20230501","공항철도 1호선","공덕","1752","2468","20230504"
"20230501","6호선","공덕","11944","11152","20230504"
"20230501","5호선","공덕","8755","9073","20230504"
"20230501","7호선","공릉(서울과학기술대)","10417","10555","20230504"
"20230501","9호선","공항시장","2324","2501","20230504"
"20230501","공항철도 1호선","공항화물청사","1450","1545","20230504"
"20230501","과천선","과천","5214","4663","20230504"
"20230501","경부선","관악","6340","5778","20230504"
"20230501","신림선","관악산(서울대)","4307","4655","20230504"
"20230501","5호선","광나루(장신대)","11308","10991","20230504"
"20230501","경부선","광명","3413","2419","20230504"
"20230501","7호선","광명사거리","17197","16844","20230504"
"20230501","경원선","광운대","8147","8269","20230504"
"20230501","5호선","광화문(세종문화회관)","23975","29189","20230504"
"20230501","6호선","광흥창(서강)","6017","5858","20230504"
"20230501","3호선","교대(법원.검찰청)","10977","6174","20230504"
"20230501","2호선","교대(법원.검찰청)","20735","25258","20230504"
"20230501","경부선","구로","13596","13617","20230504"
"20230501","2호선","구로디지털단지","34739","34227","20230504"
"20230501","분당선","구룡","1912","1902","20230504"
"20230501","중앙선","구리","10647","11002","20230504"
"20230501","9호선","구반포","637","648","20230504"
"20230501","6호선","구산","6298","4910","20230504"
"20230501","분당선","구성","3573","3817","20230504"
"20230501","2호선","구의(광진구청)","17193","17152","20230504"
"20230501","경인선","구일","4690","4528","20230504"
"20230501","3호선","구파발","16781","17062","20230504"
"20230501","중앙선","국수","1041","996","20230504"
"20230501","9호선","국회의사당","7266","7995","20230504"
"20230501","5호선","군자(능동)","8967","9902","20230504"
"20230501","7호선","군자(능동)","11244","8917","20230504"
"20230501","경부선","군포","4283","4043","20230504"
"20230501","경춘선","굴봉산","327","287","20230504"
"20230501","5호선","굽은다리(강동구민회관앞)","7448","7074","20230504"
"20230501","경춘선","금곡","1451","1366","20230504"
"20230501","경의선","금릉","4437","4331","20230504"
"20230501","경부선","금정","20270","20308","20230504"
"20230501","경부선","금천구청","9366","9124","20230504"
"20230501","경의선","금촌","6719","6846","20230504"
"20230501","3호선","금호","6384","5867","20230504"
"20230501","분당선","기흥","8294","8292","20230504"
"20230501","5호선","길동","6655","6799","20230504"
"20230501","4호선","길음","17155","17681","20230504"
"20230501","경춘선","김유정","799","847","20230504"
"20230501","9호선","김포공항","7305","9522","20230504"
"20230501","5호선","김포공항","7626","7195","20230504"
"20230501","공항철도 1호선","김포공항","10306","5215","20230504"
"20230501","5호선","까치산","21499","21029","20230504"
"20230501","2호선","낙성대(강감찬)","20616","21320","20230504"
"20230501","7호선","남구로","9015","8949","20230504"
"20230501","수인선","남동인더스파크","842","966","20230504"
"20230501","3호선","남부터미널(예술의전당)","19968","20180","20230504"
"20230501","7호선","남성","8257","8311","20230504"
"20230501","경부선","남영","11763","8319","20230504"
"20230501","8호선","남위례","4688","4799","20230504"
"20230501","경춘선","남춘천","3342","3957","20230504"
"20230501","4호선","남태령","1100","821","20230504"
"20230501","8호선","남한산성입구(성남법원.검찰청)","10482","9729","20230504"
